IDCNTRY,IDSCHOOL,IDTEALIN,IDTEACH,IDLINK,ITCOURSE,experience,sex,age,prob_class_size,prob_much_material,prob_much_time,prob_need_prep,prob_need_class_time,prob_much_pressure,prob_change_material,prob_admin_tasks,class_size,stud_lang_diff,style_daily_lives,style_explain_work,style_challenge,style_discussion,style_link_previous,style_procedures,style_express_ideas,class_time,stud_explain_new,stud_observe_phenom,stud_demo_exp,stud_plan_exp,stud_conduct_exp,stud_present,stud_interpret,stud_use_evid,stud_read_text,stud_memorize,stud_formulas,stud_field,stud_heterogeneous,stud_homogenous,computer_sci,computer_stud,computer_class,computer_school,computer_class_freq,computer_low_freq,computer_high_freq,computer_spec_freq,hw_freq,hw_time,hw_correct,hw_self_correct,hw_discuss,hw_complete,hw_graded,assess_observe,assess_ask,assess_short,assess_long,assess_projects,pd_hours,language,school_acad_focus_score,limited_by_needs_score,school_safe_score,job_satisfaction_score,emph_investigation_score,school_acad_focus,limited_by_needs,school_safe,job_satisfaction,emph_investigation,bio_coverage,chem_coverage,phys_coverage,earth_coverage,edu_level,study_stem,study_edu,mmat_avg,ssci_avg,malg_avg,mapp_avg,mdat_avg,mgeo_avg,mkno_avg,mnum_avg,mrea_avg,sapp_avg,sbio_avg,sche_avg,sear_avg,skno_avg,sphy_avg,srea_avg
152,5016,50160202,501602,2,Integrated science,15.0,Female,30–39,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,32.0,0.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,240.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,2.0,2.0,1.0,2.0,1.0,More than 35 hours,Spanish,13.86227,15.29511,10.58171,11.74559,10.96886,Very High Emphasis,Not Limited,Very Safe and Orderly,Very Satisfied,Less than Half the Lessons,85.71429,100.0,100.0,100.0,ISCED Level 6,1,1,471.4948055714285,505.10149378571424,469.2205488571429,470.03063678571425,462.7290472857144,459.46971064285725,459.50027585714287,474.31522700000005,484.5788430714285,511.44318785714296,507.42384221428574,494.6786494285715,494.8517117857144,495.50890478571426,484.4570905,492.94721892857143
152,5017,50170202,501702,2,Integrated science,11.0,Female,30–39,1.0,2.0,2.0,2.0,2.0,1.0,0.0,1.0,27.0,0.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,180.0,3.0,2.0,2.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,30.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,More than 35 hours,Spanish,11.55005,11.93195,9.61153,11.74559,12.04436,High Emphasis,Not Limited,Safe and Orderly,Very Satisfied,About Half the Lessons or More,100.0,100.0,85.71429,100.0,ISCED Level 6,1,1,457.36968220000006,483.81971129999994,472.29709599999995,454.3888223000001,463.9234246,464.2889282000001,457.1101299,459.218998,472.1527267,484.3692794,493.36474659999993,478.76640369999996,478.31338360000007,483.9081268,484.1963918,485.5879896
152,5019,50190101,501901,1,Integrated science,3.0,Male,25–29,3.0,2.0,1.0,2.0,2.0,1.0,0.0,0.0,41.0,0.0,3.0,3.0,2.0,2.0,3.0,2.0,2.0,270.0,3.0,2.0,1.0,0.0,1.0,1.0,0.0,1.0,3.0,3.0,3.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,1.0,2.0,2.0,2.0,1.0,Less than 6 hours,Spanish,10.95225,10.69865,7.62717,8.48286,8.0387,High Emphasis,Somewhat Limited,Safe and Orderly,Satisfied,Less than Half the Lessons,57.14286,37.5,42.85714,0.0,ISCED Level 6,1,1,452.590806117647,474.47056294117647,455.9678764117647,451.7694594705883,450.5557761764706,452.8549445294117,448.4247692352942,456.6866272352941,467.1807435294118,477.6611550588235,488.2156519999999,458.0903407647059,482.8877061764707,473.6717945294117,470.66840558823526,470.040629882353
152,5020,50200202,502002,2,Integrated science,5.0,Female,30–39,1.0,1.0,3.0,3.0,3.0,1.0,1.0,2.0,23.0,0.0,2.0,3.0,1.0,2.0,3.0,1.0,3.0,170.0,3.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,0.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,,,,,,,,2.0,2.0,0.0,1.0,1.0,Less than 6 hours,Spanish,6.62777,7.18242,6.28831,8.48286,9.37904,Medium Emphasis,Very Limited,Less than Safe and Orderly,Satisfied,Less than Half the Lessons,57.14286,37.5,28.57143,100.0,ISCED Level 6,1,1,410.03392506666665,421.04431080000006,414.26430866666664,418.3097778666666,401.4880045333333,390.41615306666677,401.0757088,419.86345520000003,414.5426736,428.0060753333334,431.1685464,400.8760335999999,421.1085589333334,430.63844999999986,423.19105813333334,412.06105759999997
152,5021,50210202,502102,2,Integrated science,12.0,Female,30–39,0.0,2.0,2.0,3.0,2.0,1.0,1.0,2.0,24.0,0.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,,1.0,2.0,0.0,2.0,1.0,1.0,1.0,1.0,3.0,3.0,3.0,1.0,1.0,1.0,0.0,,,,,,,,1.0,30.0,2.0,1.0,2.0,2.0,0.0,2.0,2.0,1.0,1.0,1.0,16–35 hours,Spanish,10.65284,7.18242,9.61153,11.74559,8.81776,High Emphasis,Very Limited,Safe and Orderly,Very Satisfied,Less than Half the Lessons,71.42857,50.0,57.14286,50.0,ISCED Level 7,1,1,485.54708180000006,504.01581110000006,489.5625812,480.8373297,472.7511040000001,468.0860099,481.7466811000001,490.1953823,493.2222763,505.59587969999995,515.5161191,490.76738480000006,507.2401707,512.0651348,501.40450849999996,496.3844193000001
152,5023,50230202,502302,2,Integrated science,26.0,Female,50–59,1.0,2.0,1.0,3.0,3.0,2.0,1.0,3.0,26.0,0.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,270.0,,,,,,,,,,,,,,,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,Spanish,12.78977,3.62369,12.56459,11.74559,,High Emphasis,Very Limited,Very Safe and Orderly,Very Satisfied,,,,,,ISCED Level 6,1,1,562.1172597692308,564.4173646923078,568.5224361538461,554.2363534615386,557.5677686923077,561.8878058461538,572.3970236153847,555.7492537692307,562.956787923077,570.2175603846152,575.9650160769231,538.8610238461539,566.0266611538461,557.8302763076923,571.7201972307693,554.2240723846154
152,5023,50230303,502303,3,Integrated science,15.0,Female,40–49,2.0,2.0,2.0,3.0,3.0,1.0,1.0,2.0,29.0,0.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,90.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,3.0,1.0,0.0,,,,,,,,,,,,,,,2.0,2.0,1.0,2.0,1.0,6–15 hours,Spanish,14.77066,12.67245,13.87035,11.74559,8.81776,Very High Emphasis,Not Limited,Very Safe and Orderly,Very Satisfied,Less than Half the Lessons,,50.0,42.85714,75.0,ISCED Level 6,1,1,562.1172597692308,564.4173646923078,568.5224361538461,554.2363534615386,557.5677686923077,561.8878058461538,572.3970236153847,555.7492537692307,562.956787923077,570.2175603846152,575.9650160769231,538.8610238461539,566.0266611538461,557.8302763076923,571.7201972307693,554.2240723846154
152,5024,50240101,502401,1,Integrated science,2.0,Male,25–29,3.0,0.0,3.0,3.0,3.0,1.0,0.0,1.0,26.0,0.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,180.0,3.0,3.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,2.0,2.0,2.0,1.0,1.0,Less than 6 hours,Spanish,17.78068,11.28828,11.14932,11.74559,9.83696,Very High Emphasis,Not Limited,Very Safe and Orderly,Very Satisfied,Less than Half the Lessons,71.42857,75.0,57.14286,100.0,ISCED Level 6,1,1,445.6042805217392,468.4026200869566,443.06054478260864,434.3511967826087,439.1873018260869,436.9192175652174,436.47515373913046,441.37386791304334,459.1572005217391,474.4146357391305,472.038232,457.5328915652175,471.5008661739131,466.2247926086956,455.4633541739131,455.4431780000001
152,5026,50260303,502603,3,Integrated science,5.0,Female,25–29,1.0,3.0,3.0,3.0,3.0,3.0,1.0,3.0,22.0,0.0,3.0,3.0,1.0,2.0,3.0,0.0,3.0,135.0,3.0,1.0,1.0,0.0,1.0,0.0,1.0,2.0,1.0,1.0,2.0,0.0,2.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,,,,,,,,2.0,2.0,1.0,2.0,2.0,More than 35 hours,Spanish,10.05102,11.93195,11.78998,7.74231,8.0387,High Emphasis,Not Limited,Very Safe and Orderly,Satisfied,Less than Half the Lessons,42.85714,62.5,57.14286,75.0,ISCED Level 6,1,1,542.1616955789474,556.5631335789473,538.0932696842106,532.434252631579,529.202314631579,536.613052736842,537.1338365263157,532.5924123157895,532.5277253684211,555.8713237894735,569.4046865263157,528.0574105263158,548.5974408421052,559.6813420000001,543.9966061052633,534.7131253684211
152,5026,50260404,502604,4,Integrated science,15.0,Female,30–39,1.0,3.0,2.0,3.0,3.0,1.0,1.0,2.0,22.0,0.0,1.0,1.0,0.0,1.0,2.0,3.0,3.0,45.0,3.0,1.0,1.0,0.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,30.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,More than 35 hours,Spanish,8.54651,11.93195,10.07263,11.74559,8.0387,Medium Emphasis,Not Limited,Safe and Orderly,Very Satisfied,Less than Half the Lessons,42.85714,62.5,57.14286,75.0,ISCED Level 6,1,1,542.1616955789474,556.5631335789473,538.0932696842106,532.434252631579,529.202314631579,536.613052736842,537.1338365263157,532.5924123157895,532.5277253684211,555.8713237894735,569.4046865263157,528.0574105263158,548.5974408421052,559.6813420000001,543.9966061052633,534.7131253684211
152,5027,50270101,502701,1,Integrated science,13.0,Female,30–39,2.0,2.0,3.0,3.0,3.0,1.0,2.0,3.0,36.0,0.0,3.0,2.0,2.0,3.0,3.0,3.0,3.0,240.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,3.0,1.0,2.0,2.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,,,,,,,,2.0,2.0,2.0,1.0,1.0,More than 35 hours,Spanish,11.85103,10.14509,8.39631,11.74559,11.31862,High Emphasis,Somewhat Limited,Safe and Orderly,Very Satisfied,About Half the Lessons or More,57.14286,75.0,57.14286,50.0,ISCED Level 6,1,1,470.67285864516134,491.0449833548388,474.6704610967741,472.44166490322584,464.5999044516128,466.31507058064517,479.04582806451623,474.73153264516134,487.84562954838714,494.6431812258064,496.52406858064506,489.28154922580643,493.4159412258065,497.53172819354836,471.7564731612903,493.70080103225825
152,5028,50280101,502801,1,Integrated science,15.0,Male,50–59,2.0,3.0,2.0,3.0,3.0,1.0,0.0,2.0,39.0,0.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,180.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,0.0,2.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,30.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,None,Spanish,11.25098,10.14509,11.78998,10.82008,8.0387,High Emphasis,Somewhat Limited,Very Safe and Orderly,Very Satisfied,Less than Half the Lessons,42.85714,62.5,14.28571,0.0,ISCED Level 6,1,0,478.49279799999994,501.05523406451607,487.0735285161291,467.0742447741936,464.0603818709677,464.42567025806454,483.0233916129032,481.10655483870977,488.21501832258065,497.94251245161297,513.513626,490.3140165806452,494.8721492258065,499.1784216129033,487.5620599354838,498.34243367741936
152,5030,50300202,503002,2,Integrated science,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,467.6692530344828,496.4698513793104,464.3851057931034,462.4240392413794,461.73149075862074,461.49509758620684,455.5977855172413,469.13666820689656,474.12299793103455,500.8895373103449,511.28452903448283,473.0937642758621,496.80055262068953,503.86094117241385,486.4744814482759,492.77802875862074
152,5030,50300303,503003,3,Integrated science,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,467.6692530344828,496.4698513793104,464.3851057931034,462.4240392413794,461.73149075862074,461.49509758620684,455.5977855172413,469.13666820689656,474.12299793103455,500.8895373103449,511.28452903448283,473.0937642758621,496.80055262068953,503.86094117241385,486.4744814482759,492.77802875862074
152,5031,50310202,503102,2,Integrated science,13.0,Male,30–39,0.0,1.0,3.0,3.0,2.0,0.0,2.0,1.0,11.0,0.0,3.0,1.0,1.0,1.0,3.0,1.0,3.0,145.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,,,,,,,,,,,,,,,1.0,2.0,1.0,1.0,1.0,6–15 hours,Spanish,8.24467,7.67828,9.61153,11.74559,6.51309,Medium Emphasis,Somewhat Limited,Safe and Orderly,Very Satisfied,Less than Half the Lessons,42.85714,50.0,42.85714,50.0,ISCED Level 6,1,1,418.619506,442.9641342,416.0765697999999,407.7903238,407.68713859999997,420.17251840000006,401.41503680000005,422.9280578000001,441.94294500000007,445.3632152,447.5236308,414.79880760000003,424.93550540000007,426.10761940000003,431.8177414,441.4526288
152,5032,50320101,503201,1,Integrated science,4.0,Female,25–29,1.0,2.0,2.0,2.0,2.0,0.0,1.0,2.0,24.0,0.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,120.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,2.0,2.0,2.0,2.0,2.0,None,Spanish,7.93956,9.6191,6.28831,8.48286,8.0387,Medium Emphasis,Somewhat Limited,Less than Safe and Orderly,Satisfied,Less than Half the Lessons,71.42857,37.5,85.71429,50.0,ISCED Level 6,0,1,333.27494961904773,341.9424725714286,333.96467219047616,326.737019047619,311.8607003809525,339.0523659047619,310.2376342857143,332.5538042857143,355.6024602857143,341.5659841904761,351.09655809523815,324.1396838095238,340.3162594285714,346.75711733333327,318.4076446666666,343.5057975238095
152,5032,50320303,503203,3,Integrated science,4.0,Male,25–29,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,17.0,0.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,2.0,3.0,3.0,1.0,0.0,1.0,1.0,2.0,2.0,2.0,2.0,,,,,,,,2.0,2.0,2.0,2.0,2.0,More than 35 hours,Spanish,8.8469,7.67828,8.01327,11.74559,14.62251,Medium Emphasis,Somewhat Limited,Safe and Orderly,Very Satisfied,About Half the Lessons or More,100.0,87.5,100.0,100.0,ISCED Level 6,1,1,333.27494961904773,341.9424725714286,333.96467219047616,326.737019047619,311.8607003809525,339.0523659047619,310.2376342857143,332.5538042857143,355.6024602857143,341.5659841904761,351.09655809523815,324.1396838095238,340.3162594285714,346.75711733333327,318.4076446666666,343.5057975238095
152,5033,50330101,503301,1,Integrated science,10.0,Female,30–39,1.0,,1.0,3.0,2.0,1.0,0.0,2.0,28.0,0.0,3.0,3.0,1.0,2.0,3.0,3.0,3.0,240.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,1.0,3.0,1.0,1.0,3.0,2.0,0.0,,,,,,,,,,,,,,,2.0,2.0,2.0,2.0,2.0,More than 35 hours,Spanish,7.62867,10.69865,8.01327,9.22836,12.86171,Medium Emphasis,Somewhat Limited,Safe and Orderly,Satisfied,About Half the Lessons or More,100.0,85.71429,85.71429,100.0,ISCED Level 6,0,1,382.8404196666667,408.3535650833333,386.4316200833334,387.8238615,383.5085364166668,373.4105165,377.70333999999997,389.7230896666667,399.4782734166667,416.6632804166666,421.41620916666665,384.09397966666666,405.8258946666667,406.8613300833333,395.0274091666667,405.90979474999995
152,5035,50350101,503501,1,Integrated science,30.0,Female,50–59,2.0,2.0,2.0,3.0,3.0,1.0,2.0,1.0,24.0,1.0,3.0,2.0,1.0,3.0,3.0,1.0,2.0,180.0,3.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,,,,,,,,2.0,2.0,2.0,1.0,0.0,Less than 6 hours,Spanish,6.62777,6.64377,6.79059,11.74559,6.51309,Medium Emphasis,Very Limited,Less than Safe and Orderly,Very Satisfied,Less than Half the Lessons,50.0,25.0,42.85714,100.0,ISCED Level 6,0,1,433.41117410000004,459.8439523999999,436.51510389999993,427.4369129,421.8594136999999,432.94839569999994,429.8692676999998,433.1836467000001,444.9507737,464.55591590000006,471.5921693,437.2640071999999,459.3982598999999,458.43644000000006,452.58205179999993,456.10283659999993
